house_id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,age,price,neighborhood
1,3,2,1800,5000,2,0,25,350000,Suburban
2,4,3,2400,7200,2,1,15,525000,Lakeside
3,2,1,1200,4000,1,0,40,225000,Urban
4,5,4,3200,10000,2,1,8,680000,Lakeside
5,3,2,1600,4500,1,0,30,295000,Suburban
6,4,2,2100,6000,2,0,20,410000,Suburban
7,2,1,1100,3500,1,0,55,195000,Urban
8,3,3,2000,5500,2,0,18,380000,Suburban
9,4,3,2600,8000,2,1,12,560000,Lakeside
10,3,2,1750,4800,1,0,35,310000,Suburban
11,5,3,3000,9500,2,1,10,620000,Lakeside
12,2,2,1400,4200,1,0,45,245000,Urban
13,4,2,2200,6500,2,0,22,425000,Suburban
14,3,1,1500,4000,1,0,50,265000,Urban
15,4,3,2500,7800,2,1,14,540000,Lakeside
16,3,2,1900,5200,2,0,28,340000,Suburban
17,2,1,1050,3200,1,0,60,180000,Urban
18,5,4,3400,11000,2,1,5,720000,Lakeside
19,3,2,1700,4600,1,0,32,300000,Suburban
20,4,3,2700,8500,2,1,16,575000,Lakeside
21,3,2,1850,5100,2,0,26,335000,Suburban
22,2,1,1150,3800,1,0,48,210000,Urban
23,4,2,2300,6800,2,0,19,440000,Suburban
24,3,3,2050,5800,2,0,21,395000,Suburban
25,5,3,3100,9800,2,1,9,640000,Lakeside
